,WorkCenter,ProductAGR,ProductName,NPC,Parts,Path,Width,Length,LiftPushSpeed,LiftRegularSpeed,RT1EntranceSpeed,RT1ExitSpeed,RT2EntranceSpeed,RT2ExitSpeed,EM1PushSpeed,EM1PushCycle,EM2PushSpeed,EM2PushCycle,Position,Product,BR
0,12010,BR3-IKX203,Virðus,12.0,1,1,1718.0,440.0,27,12,27,18,18,27,27,12,18,12,3,BR3-IKW203,BR3
1,12010,BR3-IRX120-K,Kairinis ðonas,12.0,1,2,566.0,423.0,18,13,18,20,20,13,18,13,20,13,3,BR3-IRW120-K,BR3
2,12010,BR3-ITX101-K,Kairinis ðonas,14.0,2,2,796.0,248.0,18,14,18,18,18,18,18,14,18,18,2,BR3-ITW101-K,BR3
3,12010,BR3-ITX302,Dugnas,13.0,2,2,1037.0,295.0,21,14,21,21,21,21,21,14,21,14,3,BR3-ITW302,BR3
4,12010,BR3-ITX301,Dugnas,14.0,2,2,686.0,295.0,24,18,22,27,25,32,22,18,27,18,3,BR3-ITW301,BR3
5,12010,BR3-ITX104,Pertvara,13.0,2,2,1092.0,295.0,18,10,18,18,18,18,18,10,18,18,2,BR3-ITW104,BR3
6,12010,BR3-ITX102,Pertvara,14.0,2,2,741.0,295.0,18,14,18,18,18,18,18,14,18,18,2,BR3-ITW102,BR3
7,12010,BR3-ITX202,Virðus,13.0,2,1,1157.0,345.0,22,13,22,22,22,22,22,13,22,13,3,BR3-ITW202,BR3
8,12010,BR3-ITX103-K,Kairinis ðonas,9.0,1,1,1147.0,248.0,18,10,18,18,18,18,18,10,18,18,2,BR3-ITW103-K,BR3
9,12010,BR2-IKX902,Stalèiaus priekis,19.5,1,1,794.0,206.0,27,21,27,21,21,30,27,21,21,21,2,BR2-IKW902,BR2
10,12010,BR3-IKX204,Virðus,12.0,1,1,900.0,460.0,23,12,23,18,18,23,23,12,18,12,3,BR3-IKW204,BR3
11,12010,BR3-IKX202,Virðus,12.0,1,1,900.0,440.0,23,12,23,18,18,23,23,12,18,12,3,BR3-IKW202,BR3
12,12010,BR2-IKX105,Pertvara,17.0,1,1,427.0,670.0,21,18,21,27,21,30,27,21,21,21,2,BR2-IKW105,BR2
13,12010,BR2-IKX903,Maþas stalèiaus priekis,19.5,2,1,794.0,210.0,27,21,27,21,21,27,27,21,21,18,2,BR2-IKW903,BR2
14,12010,BR2-IRX122,Universalus ðonas,14.0,1,1,566.0,258.0,22,20,22,21,21,21,22,21,21,21,2,BR2-IRW122,BR2
15,12010,BR3-IRX313,Dugnas,14.0,1,1,240.0,305.0,15,15,18,18,18,18,18,15,18,15,3,BR3-IRW313,BR3
16,12010,BR3-IRX215,Virðus,10.0,1,1,1200.0,730.0,15,10,18,18,18,18,18,10,18,10,4,BR3-IRW215,BR3
17,12010,BR3-IRX706,Prilaikymo juosta,18.0,2,2,544.0,159.0,21,18,21,21,20,20,20,20,21,20,2,BR3-IRW706,BR3
18,12010,BR3-IRX901,Durys,18.0,1,1,460.0,320.0,11,14,11,18,12,18,19,12,18,12,2,BR3-IRW901,BR3
19,12010,BR3-ITX201,Virðus,12.0,2,1,806.0,345.0,18,12,18,18,18,18,18,12,18,12,3,BR3-ITW201,BR3
20,12010,BR3-IKX103-D-A,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR3-IKW103-D-A,BR3
21,12010,BR3-ITX106-K,Kairinis ðonas,16.0,1,1,520.0,378.0,24,16,24,24,24,24,24,16,24,24,3,BR3-ITW106-K,BR3
22,12010,BR3-ITX105-K,Kairinis ðonas,14.0,1,1,970.0,247.0,21,14,21,21,21,3,21,14,21,14,3,BR3-ITW105-K,BR3
23,12010,BR3-ITX105-D,Deðininis ðonas,14.0,1,1,970.0,247.0,21,14,21,21,21,3,21,14,21,14,3,BR3-ITW105-D,BR3
24,12010,BR3-ITX303,Dugnas,11.0,1,2,408.5,1710.0,25,11,25,25,25,25,25,11,25,11,3,BR3-ITW303,BR3
25,12010,BR3-ITX204,Virðus,9.0,1,1,1830.0,475.0,26,11,26,26,26,26,26,0,26,11,3,BR3-ITW204,BR3
26,12010,BR3-ITX203,Virðus,11.0,2,1,1830.0,328.0,26,11,26,26,26,26,26,11,26,11,3,BR3-ITW203,BR3
27,12010,BR2-IKX903-1,Maþas stalèiaus priekis dvigubos,18.0,1,1,794.0,206.0,27,21,27,21,21,27,27,21,21,18,2,BR2-IKW903-1,BR2
28,12010,BR3-ITX101-D,Deðininis ðonas,14.0,2,2,796.0,248.0,18,14,18,18,18,18,18,14,18,18,2,BR3-ITW101-D,BR3
29,12010,BR3-IKX103-K-A,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR3-IKW103-K-A,BR3
30,12010,BR3-IRX120-D,Deðininis ðonas,12.0,1,2,566.0,423.0,18,13,18,20,13,15,18,13,20,13,4,BR3-IRW120-D,BR3
31,12010,BR3-IRX121-A,Pertvara,12.0,1,2,566.0,423.0,15,13,18,20,13,13,18,13,20,13,3,BR3-IRW121-A,BR3
32,12010,BR3-IRX120-D-A,Deðininis ðonas,12.0,1,2,566.0,423.0,18,13,18,20,20,13,18,13,20,13,3,BR3-IRW120-D-A,BR3
33,12010,BR3-IRX120-K-A,Kairinis ðonas,12.0,1,2,566.0,423.0,18,13,18,20,13,15,18,13,20,13,4,BR3-IRW120-K-A,BR3
34,12010,BR3-IRX214-A,Virðus,12.0,1,2,900.0,520.0,22,15,21,21,21,21,21,15,21,21,3,BR3-IRW214-A,BR3
35,12010,BR2-IKX106-D,Ðonas,17.0,1,2,688.0,394.0,21,18,21,27,21,30,27,21,21,21,2,BR2-IKW106-D,BR2
36,12010,BR2-IKX106-K,Ðonas,17.0,1,2,688.0,394.0,21,18,21,27,21,30,27,21,21,21,2,BR2-IKW106-K,BR2
37,12010,BR2-IKX106-D-A,Ðonas,17.0,1,2,688.0,394.0,21,18,21,27,21,30,27,21,21,21,2,BR2-IKW106-D-A,BR2
38,12010,BR2-IKX106-K-A,Ðonas,17.0,1,2,688.0,394.0,21,18,21,27,21,30,27,21,21,21,2,BR2-IKW106-K-A,BR2
39,12010,BR2-IKX701-A,Nugarëlë,12.0,1,2,800.0,334.0,23,12,23,18,18,23,23,12,18,12,3,BR2-IKW701-A,BR2
40,12010,BR3-IRX402,Lentyna,16.0,1,2,801.0,519.0,23,18,23,23,18,27,23,18,23,18,3,BR3-IRW402,BR3
41,12010,BR3-IRX121,Pertvara,12.0,1,2,566.0,423.0,18,13,18,20,13,13,18,13,20,13,3,BR3-IRW121,BR3
42,12010,BR3-IRX118-D,Deðininis ðonas,17.0,1,2,724.0,264.0,18,16,18,18,18,18,22,18,18,18,2,BR3-IRW118-D,BR3
43,12010,BR3-IRX118-K,Kairinis ðonas,17.0,1,2,724.0,264.0,18,16,18,18,18,18,22,18,18,18,3,BR3-IRW118-K,BR3
44,12010,BR3-IRX116-D,Deðininis ðonas,17.0,1,1,500.0,264.0,18,18,18,18,18,18,18,18,18,18,3,BR3-IRW116-D,BR3
45,12010,BR3-IRX116-K,Kairinis ðonas,17.0,1,1,500.0,264.0,18,16,18,18,22,18,18,18,22,12,3,BR3-IRW116-K,BR3
46,12010,BR3-IRX311,Dugnas,16.0,1,1,1080.0,312.0,26,20,26,17,18,18,27,17,21,18,2,BR3-IRW311,BR3
47,12010,BR3-IRX213,Virðus,12.0,1,2,800.0,475.0,18,12,18,20,13,13,18,13,20,13,3,BR3-IRW213,BR3
48,12010,BR3-IRX119,Pertvara,19.0,1,2,669.0,308.0,24,20,24,20,18,18,24,20,18,18,2,BR3-IRW119,BR3
49,12010,BR2-IRX903,Durys,11.0,1,2,1697.0,396.0,26,11,26,26,12,18,26,12,26,12,3,BR2-IRW903,BR2
50,12010,BR3-IRX902,Siauros dëþës fasadas,18.0,1,2,600.0,200.0,20,20,18,20,18,18,18,18,18,18,2,BR3-IRW902,BR3
51,12010,BR3-IRX403,Lentyna,18.0,1,2,382.0,519.0,18,18,19,18,19,19,18,19,18,19,2,BR3-IRW403,BR3
52,12010,BR3-IRX305,Dugnas,12.0,1,2,1200.0,505.0,26,20,26,23,18,22,26,15,23,18,3,BR3-IRW305,BR3
53,12010,BR3-IRX205,Virðus,11.0,1,1,1310.0,571.0,26,20,26,18,18,18,22,12,18,12,3,BR3-IRW205,BR3
54,12010,BR3-IRX907,Stalèiaus priekis,16.0,1,2,674.0,200.0,21,16,21,16,18,18,22,16,18,18,2,BR3-IRW907,BR3
55,12010,BR3-IKX202-A,Virðus,12.0,1,1,900.0,440.0,23,12,23,18,18,23,23,12,18,12,3,BR3-IKW202-A,BR3
56,12010,BR2-IKX103-D-A,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR2-IKW103-D-A,BR2
57,12010,BR2-IKX103-K,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR2-IKW103-K,BR2
58,12010,BR3-ITX103-D,Deðininis ðonas,9.0,1,1,1147.0,248.0,18,10,18,18,18,18,18,10,18,18,2,BR3-ITW103-D,BR3
59,12010,BR3-IRX206,Virðus,12.0,1,1,506.0,475.0,11,14,11,18,18,20,20,12,18,20,3,BR3-IRW206,BR3
60,12010,BR3-IRX114-D,Deðininis ðonas,8.0,1,1,806.0,780.0,18,8,18,18,9,9,18,9,18,9,5,BR3-IRW114-D,BR3
61,12010,BR3-IRX214,Virðus,12.0,1,2,900.0,520.0,22,15,21,21,21,21,21,15,21,21,3,BR3-IRW214,BR3
62,12010,BR3-IRX408,Lentyna,20.0,2,2,679.0,285.0,25,20,25,21,21,21,25,21,21,21,2,BR3-IRW408,BR3
63,12010,BR3-IRX115-D,Deðininis ðonas,13.0,1,1,952.0,231.0,22,15,22,22,22,22,22,15,22,22,3,BR3-IRW115-D,BR3
64,12010,BR3-IRX115-K,Kairinis ðonas,13.0,1,1,952.0,231.0,22,15,22,22,22,22,22,15,22,22,3,BR3-IRW115-K,BR3
65,12010,BR3-IRX212,Virðus,12.0,1,1,800.0,475.0,18,12,18,20,13,13,18,13,20,13,3,BR3-IRW212,BR3
66,12010,BR3-IRX211,Virðus,16.0,1,2,800.0,326.0,20,18,20,18,18,18,20,18,18,18,2,BR3-IRW211,BR3
67,12010,BR3-IRX912,Durys,17.0,1,2,684.0,336.0,21,16,21,18,18,18,21,18,18,18,2,BR3-IRW912,BR3
68,12010,BR3-IRX117,Pertvara,18.0,1,2,445.0,308.0,27,16,27,18,18,18,27,16,18,18,3,BR3-IRW117,BR3
69,12010,BR3-IRX114-K,Kairinis ðonas,8.0,1,1,806.0,780.0,18,8,18,18,9,9,18,9,18,9,5,BR3-IRW114-K,BR3
70,12010,BR3-ITX405,Lentyna,20.0,2,2,335.0,408.5,20,10,20,20,20,20,20,10,20,20,3,BR3-ITW405,BR3
71,12010,BR3-IRX310,Dugnas,17.0,1,1,680.0,412.0,18,14,18,21,18,18,18,14,21,14,4,BR3-IRW310,BR3
72,12010,BR3-IRX210,Virðus,12.0,1,2,800.0,475.0,17,13,17,20,13,13,17,13,20,13,3,BR3-IRW210,BR3
73,12010,BR3-IRX406,Lentyna,20.0,2,1,549.0,285.0,22,20,22,21,21,21,22,21,21,21,2,BR3-IRW406,BR3
74,12010,BR3-IRX405,Lentyna,20.0,2,1,550.0,285.0,21,13,21,21,14,14,21,14,21,14,3,BR3-IRW405,BR3
75,12010,BR3-IRX113-K,Kairinis ðonas,8.0,1,1,1775.5,231.0,20,9,20,18,18,18,20,9,18,9,4,BR3-IRW113-K,BR3
76,12010,BR3-IRX113-D,Deðininis ðonas,8.0,1,1,1775.5,231.0,20,9,20,18,18,18,20,9,18,9,4,BR3-IRW113-D,BR3
77,12010,BR3-IRX309,Dugnas,13.0,2,1,550.0,276.0,18,13,18,21,18,18,18,14,21,14,4,BR3-IRW309,BR3
78,12010,BR3-IRX209,Virðus,12.0,1,2,670.0,328.0,18,18,18,18,18,18,18,18,18,18,3,BR3-IRW209,BR3
79,12010,BR3-IRX407,Lentyna,17.0,2,2,679.0,408.0,25,21,25,32,21,21,25,21,32,21,3,BR3-IRW407,BR3
80,12010,BR3-ISX301,Dugnas,18.0,1,2,364.0,329.0,18,18,19,18,19,19,18,19,18,19,2,BR3-ISW301,BR3
81,12010,BR3-ITX106-D,Deðininis ðonas,16.0,1,1,520.0,378.0,24,16,24,24,24,24,24,16,24,24,3,BR3-ITW106-D,BR3
82,12010,BR3-ISX108-K,Kairinis ðonas,12.0,1,1,477.0,783.0,18,13,18,20,20,13,18,13,20,13,3,BR3-ISW108-K,BR3
83,12010,BR3-ISX205,Virðus,10.0,1,1,603.0,1196.0,19,14,19,16,20,26,19,11,16,11,3,BR3-ISW205,BR3
84,12010,BR3-ISX403,Lentyna,18.0,1,2,529.0,364.0,18,22,18,18,0,0,18,12,0,0,3,BR3-ISW403,BR3
85,12010,BR3-ISX107,Pertvara,11.0,1,1,580.0,1879.0,18,22,18,18,0,0,18,12,0,0,3,BR3-ISW107,BR3
86,12010,BR3-ISX106-K,Ðonas,11.0,1,1,580.0,1879.0,29,22,29,18,0,0,29,12,18,12,3,BR3-ISW106-K,BR3
87,12010,BR3-ISX402,Lentyna,18.0,1,2,529.0,764.0,18,22,18,18,0,0,18,12,0,0,3,BR3-ISW402,BR3
88,12010,BR3-ISX208,Virðus,10.0,1,1,500.0,816.0,22,11,22,20,0,0,22,13,16,11,3,BR3-ISW208,BR3
89,12010,BR3-ISX207,Virðus,10.0,1,1,603.0,1196.0,22,11,22,20,0,0,22,13,16,11,3,BR3-ISW207,BR3
90,12010,BR3-ISX109-K,Kairinis ðonas,12.0,1,1,477.0,1008.0,18,13,18,20,20,13,18,13,20,13,3,BR3-ISW109-K,BR3
91,12010,BR3-ISX401,Lentyna,18.0,1,2,364.0,349.0,18,18,19,18,19,19,18,19,18,19,2,BR3-ISW401,BR3
92,12010,BR3-ISX101-D,Deðininis ðonas,14.0,2,2,529.0,375.0,18,14,18,18,18,18,18,14,18,18,2,BR3-ISW101-D,BR3
93,12010,BR3-ISX101-K,Kairinis ðonas,14.0,2,2,529.0,375.0,18,14,18,18,18,18,18,14,18,18,2,BR3-ISW101-K,BR3
94,12010,BR3-ISX201,Virðus,16.0,1,2,416.0,403.0,17,17,17,17,17,17,17,17,17,17,2,BR3-ISW201,BR3
95,12010,BR3-ISX703,Nugarëlë didelë,19.0,1,1,160.0,1288.0,19,15,28,19,0,0,28,19,0,0,2,BR3-ISW703,BR3
96,12010,BR3-ISX702,Nugarëlë maþa,19.0,1,1,160.0,598.0,19,15,28,19,0,0,28,19,0,0,2,BR3-ISW702,BR3
97,12010,BR3-ISX701,Nugarëlë didelë,19.0,1,2,160.0,1388.0,19,15,28,19,19,19,28,19,19,19,2,BR3-ISW701,BR3
98,12010,BR3-ISX902,Fasadas didelis,16.0,1,1,200.0,1390.0,32,20,32,17,17,35,32,17,17,17,2,BR3-ISW902,BR3
99,12010,BR3-ISX106-D,Ðonas,11.0,1,1,580.0,1879.0,29,22,29,18,0,0,29,12,18,12,3,BR3-ISW106-D,BR3
100,12010,BR2-IKX103-D,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR2-IKW103-D,BR2
101,12010,BR3-ISX306,Dugnas,11.0,1,2,531.0,1144.0,20,12,20,18,0,0,18,12,0,0,3,BR3-ISW306,BR3
102,12010,BR3-IRX903,Durys,11.0,1,2,1697.0,396.0,26,11,26,26,12,18,26,12,26,12,3,BR3-IRW903,BR3
103,12010,BR3-IRX412-A,Lentyna,20.0,1,1,240.0,305.0,18,16,20,20,0,0,20,14,0,0,2,BR3-IRW412-A,BR3
104,12010,BR3-IRX215-A,Virðus,10.0,1,1,1200.0,730.0,15,10,18,18,18,18,18,10,18,10,4,BR3-IRW215-A,BR3
105,12010,BR3-IKX105,Pertvara,17.0,1,1,427.0,670.0,21,18,21,27,21,30,27,21,21,21,2,BR3-IKW105,BR3
106,12010,BR2-IKX901,Stalèiaus priekis,19.5,1,1,794.0,206.0,27,21,27,21,21,30,27,21,21,21,2,BR2-IKW901,BR2
107,12010,BR2-IKX101-K,Ðonas,17.0,1,2,688.0,374.0,21,18,21,27,21,30,27,21,21,21,2,BR2-IKW101-K,BR2
108,12010,BR3-ISX108-D,Deðininis ðonas,12.0,1,1,477.0,783.0,18,13,18,20,20,13,18,13,20,13,3,BR3-ISW108-D,BR3
109,12010,BR2-IKX103-K-A,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR2-IKW103-K-A,BR2
110,12010,BR3-ITX703,Nugarëlë,15.0,1,2,970.0,475.0,22,15,22,22,22,22,22,15,22,22,3,BR3-ITW703,BR3
111,12010,BR3-ISX704,Nugarëlë,16.0,2,1,223.0,764.0,19,20,19,17,17,20,19,17,17,17,2,BR3-ISW704,BR3
112,12010,BR3-ISX112,Pertvara,16.0,1,1,256.0,425.5,19,20,19,17,17,20,19,17,17,17,2,BR3-ISW112,BR3
113,12010,BR3-ISX110,Pertvara,12.0,1,1,456.0,783.0,18,13,18,20,20,13,18,13,20,13,3,BR3-ISW110,BR3
114,12010,BR3-ISX111-K,Kairinis ðonas,12.0,1,1,477.0,1233.0,18,13,18,20,20,13,18,13,20,13,3,BR3-ISW111-K,BR3
115,12010,BR3-ISX111-D,Deðininis ðonas,12.0,1,1,477.0,1233.0,18,13,18,20,20,13,18,13,20,13,3,BR3-ISW111-D,BR3
116,12010,BR3-ISX113-K,Kairinis ðonas,12.0,1,1,477.0,783.0,18,13,18,20,20,13,18,13,20,13,3,BR3-ISW113-K,BR3
117,12010,BR3-ISX113-D,Deðininis ðonas,12.0,1,1,477.0,783.0,18,13,18,20,20,13,18,13,20,13,3,BR3-ISW113-D,BR3
118,12010,BR3-ISX109-D,Deðininis ðonas,12.0,1,1,477.0,1008.0,18,13,18,20,20,13,18,13,20,13,3,BR3-ISW109-D,BR3
119,12010,BR2-IKX101-D,Ðonas,17.0,1,2,688.0,374.0,21,18,21,27,21,30,27,21,21,21,2,BR2-IKW101-D,BR2
120,12010,BR3-ITX402,Lentyna,20.0,2,2,335.0,278.0,20,10,20,20,20,20,20,10,20,20,3,BR3-ITW402,BR3
121,12010,BR3-IKX103-K,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR3-IKW103-K,BR3
122,12010,BR3-IKX103-D,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR3-IKW103-D,BR3
123,12010,BR2-IKX301-A,Dugnas,12.0,1,1,800.0,369.0,23,12,23,18,18,23,23,12,18,12,3,BR2-IKW301-A,BR2
124,12010,BR3-ITX403,Lentyna,20.0,2,2,275.0,335.0,20,10,20,20,20,20,20,10,20,20,3,BR3-ITW403,BR3
125,12010,BR3-IRX313-A,Dugnas,14.0,1,1,240.0,305.0,15,15,18,18,18,18,18,15,18,15,3,BR3-IRW313-A,BR3
126,12010,BR3-IRX122-A,Universalus ðonas,14.0,1,1,566.0,258.0,22,20,22,21,21,21,22,21,21,21,2,BR3-IRW122-A,BR3
127,12010,BR3-IKX702-A,Nugarëlë,18.0,1,2,800.0,334.0,23,12,23,18,18,23,23,12,18,12,3,BR3-IKW702-A,BR3
128,12010,BR3-ISX903,Fasadas didelis,16.0,1,1,200.0,600.0,19,20,19,17,17,20,19,17,17,17,2,BR3-ISW903,BR3
129,12010,BR3-IRX706-A,Prilaikymo juosta,18.0,2,2,544.0,159.0,21,18,21,21,20,20,20,20,21,20,2,BR3-IRW706-A,BR3
130,12010,BR3-ISX305,Kojûgalis,12.0,1,2,378.0,1438.0,24,12,24,12,12,12,24,12,12,12,2,BR3-ISW305,BR3
131,12010,BR2-IKX903-A,Maþas stalèiaus priekis,19.5,2,1,794.0,210.0,27,21,27,21,21,27,27,21,21,18,2,BR2-IKW903-A,BR2
132,12010,BR2-IKX902-A,Stalèiaus priekis,19.5,1,1,794.0,206.0,27,21,27,21,21,30,27,21,21,21,2,BR2-IKW902-A,BR2
133,12010,BR2-IKX902-1,Maþas stalèiaus priekis dvigubos,18.0,1,1,794.0,206.0,27,21,27,21,21,27,27,21,21,18,2,BR2-IKW902-1,BR2
134,12010,BR3-IKX702-A,Nugarëlë,14.0,1,2,800.0,334.0,23,12,23,18,18,23,23,12,18,12,3,BR3-IKW702-A,BR3
135,12010,BR2-IKX702-A,Nugarëlë,14.0,1,2,800.0,334.0,23,12,23,18,18,23,23,12,18,12,3,BR2-IKW702-A,BR2
136,12010,BR3-IKX702,Nugarëlë,18.0,1,2,800.0,334.0,23,12,23,18,18,23,23,12,18,12,3,BR3-IKW702,BR3
137,12010,BR3-ITX404,Lentyna,20.0,2,2,442.0,408.5,20,10,20,20,20,20,20,10,20,20,3,BR3-ITW404,BR3
138,12010,BR3-ITX107,Pertvara,14.0,2,2,970.0,278.0,20,14,20,20,0,0,20,14,0,0,3,BR3-ITW107,BR3
139,12010,BR3-IKX204-A,Virðus,12.0,1,1,900.0,460.0,23,12,23,18,18,23,23,12,18,12,3,BR3-IKW204-A,BR3
140,12010,BR3-ISX607,Apatinë jungiamoji juosta,9.0,1,1,1554.0,180.0,18,9,18,9,9,9,18,9,9,9,2,BR3-ISW607,BR3
141,12010,BR3-ITX108,Pertvara,18.0,2,2,408.5,465.0,18,18,18,18,20,35,18,18,18,18,2,BR3-ITW108,BR3
142,12010,BR3-ISX209,Virðus,10.0,1,1,500.0,816.0,22,11,22,20,0,0,22,13,16,11,3,BR3-ISW209,BR3
143,12010,BR3-ISX206,Virðus,10.0,1,1,500.0,816.0,15,11,15,16,0,0,15,11,16,11,3,BR3-ISW206,BR3
144,12010,BR2-IKX301,Dugnas,12.0,2,2,800.0,369.0,24,20,24,24,0,0,24,20,0,0,4,BR2-IKW301,BR2
145,12010,BR2-IKX701,Nugarëlë,12.0,2,2,800.0,334.0,24,20,24,24,0,0,24,20,0,0,4,BR2-IKW701,BR2
146,12010,BR2-IKX702,Nugarëlë,12.0,2,2,800.0,334.0,24,20,24,24,0,0,24,20,0,0,4,BR2-IKW702,BR2
147,12010,BR3-ISX304,Kojûgalis,12.0,1,2,378.0,1284.0,24,12,24,12,12,12,24,12,12,12,2,BR3-ISW304,BR3
148,12010,BR3-ISX102,Ðonas,11.0,1,1,2002.0,180.0,28,12,28,16,16,35,28,12,16,12,3,BR3-ISW102,BR3
149,12010,BR2-IRX122-A,Universalus ðonas,14.0,1,1,566.0,258.0,22,20,22,21,21,21,22,21,21,21,2,BR2-IRW122-A,BR2
150,12010,BR3-ISX604,Apatinë jungiamoji juosta,9.0,1,1,1354.0,180.0,18,9,18,9,9,9,18,9,9,9,2,BR3-ISW604,BR3
151,12010,BR3-ITX107,Pertvara,14.0,2,2,970.0,278.0,20,14,20,20,0,0,20,14,0,0,3,BR3-ITW107,BR3
152,12010,BR3-ISX610,Apatinë jungiamoji juosta,9.0,1,1,1300.0,180.0,18,9,18,9,9,9,18,9,9,9,2,BR3-ISW610,BR3
153,12010,BR3-ISX613,Apatinë jungiamoji juosta,9.0,1,1,1454.0,180.0,18,9,18,9,9,9,18,9,9,9,2,BR3-ISW613,BR3
154,12010,BR3-ISX202,Galvûgalis,14.0,1,2,578.0,455.0,20,15,20,20,20,20,20,15,20,15,0,BR3-ISW202,BR3
155,12010,BR3-ISX203,Galvûgalis,14.0,1,2,670.0,455.0,20,15,20,20,20,20,20,15,20,15,0,BR3-ISW203,BR3
156,12010,BR3-ISX204,Galvûgalis,14.0,1,2,658.0,455.0,20,15,20,20,20,20,20,15,20,15,0,BR3-ISW204,BR3
157,12010,BR3-ISX302,Kojûgalis,12.0,1,2,378.0,1338.0,24,12,24,12,0,0,24,12,0,0,2,BR3-ISW302,BR3
158,12010,BR3-ISX303,Kojûgalis,12.0,1,2,378.0,1538.0,24,12,24,12,0,0,24,12,0,0,2,BR3-ISW303,BR3
159,12010,BR3-ISX904,Fasadas didelis,19.0,1,1,200.0,1290.0,32,20,32,17,17,35,32,17,17,17,2,BR3-ISW904,BR3
